0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
46	70	93	180	169	71	100	65	180	180	131	0	0	0	0	112	1000
46	100	114	180	169	80	100	65	180	180	131	0	0	0	0	112	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
0	180	180	180	180	0	180	180	180	180	0	0	0	0	0	0	1000
120	180	180	180	180	150	180	180	180	180	0	0	0	0	0	0	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
0	180	180	180	180	0	180	180	180	180	0	0	0	0	0	0	1000
0	180	180	180	180	0	180	180	180	180	0	0	0	0	0	76	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
0	113	0	0	0	123	84	0	0	0	130	0	0	0	0	96	1000
15	116	0	0	0	123	84	0	0	0	130	0	0	0	0	96	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
0	0	0	180	180	0	0	0	180	166	0	0	0	0	0	0	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
12	117	0	0	0	124	83	0	0	0	125	0	0	0	0	102	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
18	0	108	0	0	123	0	97	0	0	149	0	0	0	0	102	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
17	0	0	125	0	123	0	0	83	0	156	0	0	0	0	130	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
59	0	0	0	106	42	0	0	0	78	180	0	0	0	0	130	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
0	0	0	180	180	0	0	0	180	180	0	0	0	0	0	0	1000
0	0	0	180	180	0	0	0	180	180	137	0	0	0	0	130	1000
0	0	0	180	180	150	0	0	180	180	165	30	-26	0	0	130	1000
